t y cos1 sin1 cos2 sin2
0 0 1 0 1 0
1 1 0.866025388 0.5 0.5 0.866025388
2 0 0.5 0.866025388 -0.5 0.866025388
3 0 6.12E-17 1 -1 1.22E-16
4 1 -0.5 0.866025388 -0.5 -0.866025388
5 3 -0.866025388 0.5 0.5 -0.866025388
6 9 -1 1.22E-16 1 -2.45E-16
7 2 -0.866025388 -0.5 0.5 0.866025388
8 3 -0.5 -0.866025388 -0.5 0.866025388
9 5 -1.84E-16 -1 -1 3.67E-16
10 3 0.5 -0.866025388 -0.5 -0.866025388
11 5 0.866025388 -0.5 0.5 -0.866025388
12 2 1 -2.45E-16 1 -4.90E-16
13 2 0.866025388 0.5 0.5 0.866025388
14 0 0.5 0.866025388 -0.5 0.866025388
15 1 1.19E-15 1 -1 2.39E-15
16 0 -0.5 0.866025388 -0.5 -0.866025388
17 1 -0.866025388 0.5 0.5 -0.866025388
18 3 -1 3.67E-16 1 -7.35E-16
19 3 -0.866025388 -0.5 0.5 0.866025388
20 2 -0.5 -0.866025388 -0.5 0.866025388
21 1 -4.29E-16 -1 -1 8.57E-16
22 1 0.5 -0.866025388 -0.5 -0.866025388
23 5 0.866025388 -0.5 0.5 -0.866025388
24 0 1 -4.90E-16 1 -9.80E-16
25 3 0.866025388 0.5 0.5 0.866025388
26 1 0.5 0.866025388 -0.5 0.866025388
27 0 5.51E-16 1 -1 1.10E-15
28 1 -0.5 0.866025388 -0.5 -0.866025388
29 4 -0.866025388 0.5 0.5 -0.866025388
30 0 -1 2.39E-15 1 -4.78E-15
31 0 -0.866025388 -0.5 0.5 0.866025388
32 1 -0.5 -0.866025388 -0.5 0.866025388
33 6 1.10E-15 -1 -1 -2.21E-15
34 14 0.5 -0.866025388 -0.5 -0.866025388
35 1 0.866025388 -0.5 0.5 -0.866025388
36 1 1 -7.35E-16 1 -1.47E-15
37 0 0.866025388 0.5 0.5 0.866025388
38 0 0.5 0.866025388 -0.5 0.866025388
39 1 2.57E-15 1 -1 5.14E-15
40 1 -0.5 0.866025388 -0.5 -0.866025388
41 1 -0.866025388 0.5 0.5 -0.866025388
42 1 -1 8.57E-16 1 -1.71E-15
43 0 -0.866025388 -0.5 0.5 0.866025388
44 1 -0.5 -0.866025388 -0.5 0.866025388
45 0 8.58E-16 -1 -1 -1.72E-15
46 1 0.5 -0.866025388 -0.5 -0.866025388
47 0 0.866025388 -0.5 0.5 -0.866025388
48 1 1 -9.80E-16 1 -1.96E-15
49 0 0.866025388 0.5 0.5 0.866025388
50 1 0.5 0.866025388 -0.5 0.866025388
51 0 2.82E-15 1 -1 5.63E-15
52 1 -0.5 0.866025388 -0.5 -0.866025388
53 0 -0.866025388 0.5 0.5 -0.866025388
54 1 -1 1.10E-15 1 -2.20E-15
55 0 -0.866025388 -0.5 0.5 0.866025388
56 1 -0.5 -0.866025388 -0.5 0.866025388
57 0 -2.94E-15 -1 -1 5.88E-15
58 0 0.5 -0.866025388 -0.5 -0.866025388
59 2 0.866025388 -0.5 0.5 -0.866025388
60 0 1 -4.78E-15 1 -9.55E-15
61 1 0.866025388 0.5 0.5 0.866025388
62 0 0.5 0.866025388 -0.5 0.866025388
63 1 -4.90E-16 1 -1 -9.81E-16
64 0 -0.5 0.866025388 -0.5 -0.866025388
65 0 -0.866025388 0.5 0.5 -0.866025388
66 1 -1 -2.21E-15 1 4.41E-15
