	"key"	"screened"	"doc"	"vacc1"	"vacc2"
"Delmenhorst, Stadt"	"03401"	747	693	667	626
"Emden, Stadt"	"03402"	505	445	418	369
"Oldenburg, Stadt"	"03403"	1468	1212	1131	973
"Osnabrück, Stadt"	"03404"	1386	1185	1102	995
"Wilhelmshaven, Stadt"	"03405"	646	572	539	477
"LK Ammerland"	"03451"	516	466	448	365
"LK Aurich"	"03452"	2125	1844	1732	1448
"LK Cloppenburg"	"03453"	2106	1954	1900	1493
"LK Emsland"	"03454"	3732	3176	3123	2675
"LK Friesland"	"03455"	1113	993	922	764
"LK Grafschaft Bentheim"	"03456"	1628	1483	1464	1227
"LK Leer"	"03457"	1857	1641	1549	1238
"LK Oldenburg"	"03458"	1530	1401	1311	1203
"LK Osnabrück"	"03459"	4221	3996	3836	3032
"LK Vechta"	"03460"	1699	1602	1584	1432
"LK Wesermarsch"	"03461"	953	839	799	726
"LK Wittmund"	"03462"	655	595	565	480
