	"key"	"screened"	"doc"	"vacc1"	"vacc2"
"Delmenhorst, Stadt"	"03401"	783	728	693	573
"Emden, Stadt"	"03402"	518	472	406	321
"Oldenburg, Stadt"	"03403"	1525	1338	1227	826
"Osnabrück, Stadt"	"03404"	1357	1248	1149	877
"Wilhelmshaven, Stadt"	"03405"	690	626	588	467
"LK Ammerland"	"03451"	1185	1107	1069	759
"LK Aurich"	"03452"	2274	2042	1795	1083
"LK Cloppenburg"	"03453"	2157	2002	1893	1044
"LK Emsland"	"03454"	3962	3337	3235	2361
"LK Friesland"	"03455"	1238	1136	1012	658
"LK Grafschaft Bentheim"	"03456"	1682	1512	1465	963
"LK Leer"	"03457"	2029	1759	1607	1077
"LK Oldenburg"	"03458"	1557	1411	1334	947
"LK Osnabrück"	"03459"	4505	4244	4031	2311
"LK Vechta"	"03460"	1830	1739	1685	1202
"LK Wesermarsch"	"03461"	1107	924	854	569
"LK Wittmund"	"03462"	701	637	600	410
